AmpliVisionS;611731, Китай, Чэнду, 555 Tianjiao Road;+86 (86) 17828031103;www.amplivisions.com;sales@amplivisions.com;"AmpliVisionS работает на переднем крае исследований и разработок мощных твердотельных усилителей GaN в Китае. С момента своего основания наша деятельность сосредоточена на решениях в области РЧ и СВЧ. AmpliVisionS проектирует, разрабатывает и производит РЧ и СВЧ продукцию для коммерческих, оборонных и промышленных систем.

Наша основная линейка продукции включает в себя модуль широкополосного усилителя мощности, модуль импульсного усилителя мощности, подсистему стоечного усилителя. В соответствии с запросами клиентов AmpliVisionS разрабатывает широкий спектр РЧ и СВЧ продукции от 1,5 МГц до 40 ГГц.";AmpliVisionS
Ande Electronics Co.,ltd;Китай;+86 (0755) 83799977;www.andesource.ru;-;-;-
ANHUI GOLDEN VISION OPTOELECTRONIC TECHNOLOGY CO.,LTD;245000, Китай, HUANGSHAN, JINSHIJIE SCIENCE PARK, YAOSHUN INDUSTRIAL ZONE, XIUNING COUNTY;+86 (559) 2671998;www.goldenvisionlcd.com;frank.lu@golden-vision.cn;GOLDEN VISION была учреждена в 1995 году и является национальным сертифицированным высокотехнологичным предприятием. С момента своего создания, GOLDEN VISION был глубоко вовлечен в область ЖК-дисплея и стремится стать профессиональным поставщиком ЖК-решений, предоставляя клиентам интегрированные решения для ЖК-дисплея, LCM и встроенных систем. ПРОДУКЦИЯ Широко используется в приборах, бытовых приборах, медицинском оборудовании, оборудовании связи, электрических приборах, электрических инструментах и т.д.;Golden Vision
Anyarc (Kunshan) Technology Co., Ltd;215345, Китай, Kunshan, Bldg#6, No.292, Beiyuan Rd, Dianshanhu Town;"+86 (512) 36681367; +86 (0) 17691075063";www.anyarc.com;sales@anyarc.com;Anyarc Technology - один из производителей микроволновых и радиочастотных пассивных компонентов DC-110 ГГц, обладающий сертификатом ISO 9001:2015 и сертификатом высокотехнологичного предприятия.;Anyarc
AO YUET ( HK ) ELECTRONICS LIMITED;518000, Китай, Шэньчжэнь, Room 2106-2107, Dingcheng Building， Zhonghang Road, Futian District;"+86 (0) 13428794333; +86 (0) 13428794222";https://www.aoyuehk.com;louis@aoyuehk.com;"AOYUET (HK) Electronics Ltd. открыла штаб - квартиру в Гонконге в 2007 году, специализируясь на спотовом и фьючерсном распределении импортных чипов. Он является давним членом торговой сети IC и других платформ. Компания следует принципу ""добросовестности, качества, цены"", услуги превыше всего. Благодаря быстрой доставке и добросовестности, он имеет прочную рыночную основу для удовлетворения разнообразных потребностей клиентов. Как лидер отрасли, он фокусируется на продажах продуктов IC, имеет стабильные каналы поставок, которые могут поставлять образцы и аварийные принадлежности. Он имеет множество превосходных брендов, достаточные запасы и интегрированные ресурсы. Его деятельность охватывает такие отрасли, как потребительская электроника, промышленный контроль и автомобильная электроника.";ADI、TI、ST、NXP、ON、INFINEON、ALTERA、MICROCHIP、te、MOLEX、HIROSE、AMPHENOL、TE、MOLEX、HIROSE、AMPHENOL、JST
ARGUS-X;111033, Россия, Москва, ул. Золоторожский Вал, д. 11, стр. 22, офис 239;"+7 (495) 1238101; +7 (800) 1013212";store.argus-x.ru;info@argus-x.ru;"Компания ARGUS X, основанная в 1994 году, успешно поставляет оборудование и участвует в разработке для отечественных производителей.

ARGUS X помогает улучшать качество и эффективность производств, занимая уникальную нишу на рынке и способствуя развитию отрасли.

Мы поставляем оборудование для пайки и материалы для ручного производства электроники, работаем с юридическими и частными заказчиками, участвуем в тендерах российских предприятий и государственных заказах.";PURE AIR, FUMECLEAR, PACE, SUDONG, METCAL, WARP, VMATIC, Aidacom, WELLER, OPTILIA
Arman Moj Fanavar;Ближний Восток, Тегеран, Arman Moj Fanavar Co. Building, Eliasam Alley, km 20 Lashgari Expressway;+98 (214) 4994125;www.armanmoj.com;admin@armanmoj.com;Компания Arman Moj Technology Knowledge Company — пионер в разработке и производстве 2D и 3D промышленного цифрового рентгеновского оборудования. Сотрудничая с передовыми лабораториями в электронике, микроэлектронике, литейном и сварочном производстве, а также научными центрами, компания локализовала производство оборудования для радиографии, флюороскопии, рентгена печатных плат, промышленных КТ-сканеров, ламингографии и цифровых детекторов. Благодаря привлечению лучших специалистов и развитию НИОКР, компания адаптирует решения для различных отраслей, удовлетворяя технологические потребности бизнеса и науки.;-
Avtex Semiconductor Limited;518125, Китай, Shenzhen, Room 1005C, Fortune Harbor International Center, No. 1084, Baoyuan Road, Xixiang Street, Baoan District;+86 (0755) 23149354;www.avtex.cn;sales@avtex.cn;"AVTEX является глобальным партнером по цепочке поставок для технологически ориентированных компаний.

Как независимый дистрибьютор электронных компонентов, мы предоставляем надежные результаты. Наша многоязычная закупочная группа закупает компоненты по всему миру 24 часа в сутки, чтобы гарантировать, что компоненты трудно доставить, утилизировать (EOL), с высоким распределением и длительным циклом доставки.";-
BDS Electronics Inc.;Китай, Bengbu, 818 xingzhong road;+86 (552) 4076888;www.bds.com.cn;allanhu@doublecircle.com;-;-
Beijing Huijierui Technology Co., Ltd.;Китай, Пекин, Room 3101, 3rd Floor, Xinhua Innovation Building, No. 18, Xixiaokou Road, Haidian District;+86 (10) 62952232;-;zyy@zhjpower.net;-;-
Beijing Leaguesun Electronics Co.,Ltd.;Китай, Пекин, Level 10，1st Building，No.8 Key 1st Street,JingKai Dis;+86 (021) 51655656;-;taol@leaguesun.com;-;-
Beijing World E To Technology Co., Ltd;Китай;+86 (135) 81880680;www,wordeto.com;Maizhou.Ma@worldeto.com;-;-
Beijing Xinchuang Chunshu Rectifier Co., Ltd.;Китай, Пекин, Room B908, Yatai Center, Building 21, Pingyuanli, Xicheng District;+86 (183) 47424194;-;Dino_ChunshuSemi@yeah.net;-;-
Beijing Zhongke Feihong Science & Technology Co Ltd;100095, Китай, Пекин, 101-1,floor 5,building 7,yard 60,Yinhua Road,Haidian District;+86 (10) 62462340;www.zkfh.com;zkfh2000@126.co'm;"Пекинская научно-техническая компания «Чжункэ Фэйхун» была основана в мае 2000 годас уставным капиталом 72,6 млн юаней. Специализируется на разработке, производстве и продаже электронных продуктов, включая:  
- Устройства на поверхностно-акустических волнах (ПАВ)
- Микроволновые компоненты
- Радиовысотомеры
- Оптоэлектронные системы и системы радиоэлектронной борьбы (РЭБ)
Стратегия НИОКР 
Благодаря многолетнему опыту и накопленным технологиям компания создала современную производственную базу:  
1 производственная линия устройств на ПАВ с передовыми технологиями, обеспечивающая ежемесячный выпуск 20 000 устройств.  
 2 сборочные линии модулей и компонентов с производительностью 2000 комплектов в месяц.";FH
BEISIT ELECTRIC TECH(HANGZHOU)CO.,LTD;311100, Китай, Ханчжоу, 1, Tangmei Rd., Linping Economic-Technological Development Area;+86 (571) 89362888;www.beisit.com;bill@beisit.com;Компания Beisit Electric Tech (Ханчжоу) Co., Ltd была основана в декабре 2009 года, с существующей площадью завода 23 300 квадратных метров и 500 сотрудниками (120 в сфере исследований и разработок, 140 в маркетинге и 240 в производстве).  Beisit занимается исследованиями и разработками, производством и продажей систем управления промышленной автоматизацией, систем Интернета вещей, промышленных/медицинских датчиков и разъемов для хранения энергии.;BEISIT
BEST;100020, Китай, Пекин, 9 Dongsanhuan Zhonglu, Chaoyang District;+86 (131) 21851419;beijing-est.cn;sales@beijing-est.cn;"Компания BEST производит высоконадежные электронные компоненты для ответственных применений и сосредоточена на предоставлении экономически эффективных альтернатив компонентам американских и европейских брендов.
Основная продукция — цифровые, аналоговые и гибридные интегральные схемы, модули DC\DC и ИС управления питанием, а также электромагнитные реле и компоненты тактирования. Вся продукция производится на производственных мощностях государственных заводов Китая.
Благодаря обширному опыту в области НИОКР и строгому контролю качества продукция соответствует национальным стандартам GJB.
Головной офис BEST находится в Пекине, поддерживает тесную связь с фаундри-партнерами и предоставляет клиентам решения и сервис самого высокого класса.";BEST
BETTER PURO CO.,LTD;214223, Китай, HuZhou, Youfu Road 999-7,Hefu town, Nanxun District;+86 (572) 3016666;www.better-puro.com;july.cheng@better-pure.com;"Better-Puro - компания, специализирующаяся на производстве и продаже труб и фитингов из нержавеющей стали сверхвысокой чистоты (BA & EP). Наша продукция хорошо известна и широко используется в полупроводниковой, TFT/TCD, солнечной и фармацевтической промышленности.
У нас есть две производственные фабрики: 
1 HuZhou Better Puro Pipeline Co, Ltd расположен в городе Чжэцзян Хучжоу, он предназначен для труб/фитингов, продуктов процесса яркого отжига и материалов предварительной обработки EP. 2 чистые комнаты с классом 1000 и классом 10000, всего 300 M² и около 150 рабочих.
2. NanTong Better Puro Material Co., Ltd, расположенная в городе Наньтун провинции Цзянсу, предназначена для электрополировки продукции (EP). Чистое помещение класса 100 составляет 270 M², класса 1000 - 430M²";-
BIS Journal;127473, Россия, Москва, 3-й Самотечный пер., д. 21;+7 (495) 9214244;https://ib-bank.ru/bisjournal/;info@ib-bank.ru;"Журнал «BIS Journal − Информационная безопасность бизнеса» - специализированное отраслевое периодическое издание об информационной безопасности банков, кредитно-финансовых организаций и прочий отраслей.  
Содержит оперативную, полную и достоверную информацию по всем аспектам развития отрасли: освещает нововведения в области законодательства, регламентов и стандартов, актуальные требования регуляторов, инструментарий информационных атак и средств защиты, динамику рынка предложений интеграторов, деловые мероприятия и профильное образование.";-
BMTI;Китай, Пекин, No.2 Siyingman North Road, Donggaodi, Fengtai District;+86 (010) 67968115;www.casc-bmti.com;gjhz@mxtronics.com;"Пекинский институт микроэлектронной техники был основан в 1994 году 
и входит в состав Китайской академии аэрокосмических электронных 
технологий (China Academy of Aerospace Electronics Technology) при 
Китайской корпорации аэрокосмической науки и техники (China Aerospace 
Science and Technology Corporation). Штаб-квартира находится в Пекине, 
филиал в г. Сиань.
В номенклатуре компании представлен широкий перечень цифровых 
и аналоговых микросхем, таких как ПЛИС, микросхемы памяти, 
микропроцессоры, микроконтроллеры, АЦП, ЦАП, интерфейсные 
микросхемы, радиочастотные микросхемы и др.";BMTI
Bonrex Technology Co.,Ltd;518110, Китай, Shen Zhen, No.506, Zhao Ye Creative park, Huan Guan Zhong Road, Guan Hu, Long Hua district;+86 (755) 29029085;www.bonrex.com;info@bonrex.com;BONREX TECHNOLOGY CO.,LTD is the leading battery manufacturer in China mainland, who focus on LiFePO4, Li-polymer, Li-ion, LiSoCI2, and LiMnO2 batteries, including PCM, our batteries passed by UL, CE, ROHS, IEC and CB certifications.;BONREX
BOSTOCK;518048, Китай, Шэньчжэнь, FLAT/RM 20 BLK B3 07/F TUEN MUN INDUSTRIAL CENTRE NO.2 SAN PING CIRCUIT TUEN MUN NT HK;+852 (5808) 1022;www.bostk.com;info@bostk.com;Компания BOSTOCK является мировым лидером в области поиска, тестирования и дистрибуции электронных компонентов .Основана в 2015 году со штаб–квартирой в Шэньчжэне.Лидер в продаже высококачественных микросхем (ПЛИС, CPLD, микроконтроллеры, флэш-память) и чрезвычайно надежный поставщик компонентов с истекшим сроком службы (EOL) и труднодоступных дефицитных компонентов.;ADI、ALTERA、XILINX、NXP、MICROCHIP、ST、RENESAS、TI、INFINEON、CYPRESS
Brilltron Electronics limited;999077, Китай, Гонконг, Rm 2309 23/F,HO King Comm CTR 2-16,Fayuen St,Mongkok Kowloon;"+86 (755) 83937586; +86 (755) 23482884";www.brilltron.com;Sales@brilltron.com;"Brilltron Electronics — поставщик электронных компонентов, специализирующийся на точечных поставках и дистрибуции интегральных схем различных брендов. Мы предлагаем нашим клиентам услуги по подбору компонентов, их продажам и технической поддержке.

Среди наших клиентов —  аэрокосмические компании, производители медицинского оборудования, исследовательские институты, компании, производящие коммуникационное оборудование, автопроизводители, энергетические и машиностроительные корпорации.  
Наша компания имеет налаженные механизмы поставок высококачественных компонентов в различные регионы, так что вам не придется беспокоиться за сроки отгрузки нашей продукции. 
Сотрудничество с нами - верный ключ к решению любых ваших задач!";BMTI
BWT;115432, Россия, Москва, Проектируемый проезд № 4062, д. 6, стр. 16;+7 (495) 2253322;https://www.bwt.ru/;info@bwt.ru;"Концерн BWT (Best Water Technology) – ведущий поставщик инновационных технологий и систем водоочистки и водоподготовки. Подготовка сверхчистой воды (Ultra Pure Water) для электронной промышленности – одно из направлений деятельности компании. 

Предлагаемые BWT решения охватывают весь спектр технологий водоподготовки, включая установки обратного осмоса, модули электродеионизации и мембраннодегазации, системы хранения и распределения деионизованной воды. Наши компетенции и технологии позволяют получить воду заданного качества в соответствии с требованиями ОСТ 11.029.003-80, ASTM D-5127-90 (американский стандарт) и SEMI.

Каждая система водоподготовки предоставляется “под ключ” - от проектирования до монтажа и сервисного обслуживания.";BWT
C & I SEMICONDUCTORS CO.,LTD;999077, Гонконг, специальный административный район Китая, Гонконг, TAKWING IND BLDG,3.TSUN WEN ROAD,TUEN,MUN,NT;"+852 (0) 69346092; +86 (0755) 13802700694";https://www.chinele.com/;james@chinele.com;"C & I Semiconductor Co., Ltd. —это всемирно известная франчайзинговая полупроводниковая интегральная схема (IC), патч-транзистор, конденсатор, регулятор, индукторы, танталовые конденсаторы, FET, двухсторонний одиночный SCR, rlington, 3 конца регулятора, оптопары крупных поставщиков.  Компания имеет много лет perience управления сбытом, профессионала поддерживая разнообразие электронные блоки.

Наша компания всегда настаивала: ""качество прежде всего, разумная цена, скорость доставки, сервис-ориентированная, пул"", развитие философии и цели, чтобы обеспечить наиболее удовлетворительные услуги, чтобы иметь любые, через сильную рыночную сеть услуг для предприятий стандартизированные и специализированные, диверсифицированные и всесторонним качеством услуг.";HOLT, XILINX, ALTERA, TRACO POWER, MINI, CYPRESS, ST, TI, NXP, ADI, SAMTEC, ON, MICRON, MICROCHIP, HUBER+SUHNER, ODU, AMPHENOL, TDK/EPCOS, HARTING, KEYSIGHT, VICOR
Caring Circuit Tech Limited;518103, Китай, Шэньчжэнь, RM601, Block 5-A,Tongtai Times Center, Fuyong Town;"+86 (755) 23110700; +86 () 13723409310";www.caringcircuit.com;info@caring-pcb.com;Care Circuit-китайская компания-прототип PCB & PCBA и производитель PCB & PCBA среднего объема, соблюдающий стандарты качества и специальные требования в течение оговоренного периода времени и по конкурентоспособным ценам. Как и в заботливой цепи, вы получите спокойствие с качеством, конкурентоспособные цены и в срок доставки PCB. Команда Caringcircuit будет рада служить вам и предлагать вам немного больше, чем все ожидают: сервис, советы и поддержку.;-
Carlacci Industrial Co., Ltd;518000, Китай, Шэньчжэнь, 405, Shanghang Building East, Hongli Road, Futian District;+86 (755) 88822285;www.ic-clc.ru;harry@ic-clc.com;Ведущий дистрибьютор электронных компонентов и электротехнической продукции со специализированными складами в Шэньчжэне и Гонконге. Помимо поставок компонентов, компания предлагает услуги по контрактной разработке печатных плат, обеспечивая высококачественные решения для различных отраслей промышленности.;ABB, Analog Devices, Altera, Bosch, Cypress, Infineon, Intel, Maxim Integrated, Microchip, NXP, ON, Realtek, Renesas, ROHM, Schneider Electric, Skyworks, ST, TE Connectivity, Texas Instruments, Vishay, Xilinx
CB (XIAMEN) INDUSTRIAL CO., LTD.;361000, Китай, Xiamen, Room 1101-1, No. 46 Shentian Rd, Siming District;"+86 (592) 5213852; +86 () 13906055805";www.bortcable.com;sales@bortcable.com;The factory was founded in 2009.  We are 15 years in cable producing.  Annual production ability is 300,000km.  We have 50 employees with 7 R&D engineers and 4 for QC & factory laboratory test.  Factory is ISO9001:2015 certificated, have the UL, VDE, CE, PSE certification, the SGS test report, material compliant with ROHS and REACH.  Exported to North America/ Europe/South America/Oceania/Asia, and domestic market.;-
Centicore Group;127006, Россия, Москва, Краснопресненская набережная, д. 12;+7 (495) 1616111;https://centicore.ru/;contact@centicore.ru;Российская ИТ-компания, предоставляющая многосторонний спектр услуг для цифровой трансформации: разработка ПО, аутстаффинг разработчиков, рекрутинг ИТ-специалистов.;-
CFSensor;241000, Китай, Wuhu, 22F/14Bldg,Hi-tech Park,Hi-tech District;+86 (182) 26771331;www.CFSensor.com;sales@CFSensor.com;"""Кто мы: CFSensor, производитель датчиков из Китая, одна из самых первых фирм по производству МЭМС в Китае.
Что мы делаем: Датчик давления - Датчик расхода - ИК термобатарейный датчик - Датчик газа - Датчик скорости вращения - Датчик тока
Как мы работаем: Разработка и проектирование - Инкапсуляция и проверка - Калибровка и испытания - Полное решение
Где используется: Автомобили и электроника - Медицина и здравоохранение - Потребители и бытовая техника - Промышленность и IoT
Подробнее о нас:
Заводская территория: 7500㎡;   
Производственная линия: 30+;   
Работники: 185+   
ISO9001:2005 & IATF 16949
CE/RoHS/Reach/California 65

Более подробную информацию, пожалуйста, просмотрите www.CFSensor.com""";CFSensor
Changsha Ecer Supply Chain Co., Ltd;Китай, Changsha, 22/F, North Tower Shuntian International Financial Center, No. 419 Shaoshan Middle Road, Yuhua District;+86 (0731) 88905071;ecer.com;cswangyuan@maoyt.com;-;-
Changsha Sibel Electronic Technology Co.,Ltd.;410100, Китай, Чанша, NO.529 & 504B,5th floor of Exhibition & Trading Center of Import & Export Commodities , Changsha Huanghua Comprehensive Bonded Zone,China (Hunan) Pilot Free Trade Zone,Huanghua Town;+86 (0731) 86203696;https://spibel.com/;yolandahu@spibel.com;Чанша Сибель Электронная Компания Лимитед была основана в 2017 году и в основном занимается производством фирменных разъемов, таких как TE / MOLEX / HIROSE / YAZAKI / SUMITOMO / JST / JAE / KET и т. д., жгутов проводов, шнуров питания, вилок питания и т. д., сопутствующих технических услуг и т. д. После многих лет непрерывного развития компания имеет отличную команду продаж и расширенный режим управления, а также «честность, прагматичность, инновации, предприимчивость» для философии бизнеса, чтобы предоставлять клиентам качественные услуги. До сих пор мы наладили хорошее и долгосрочное сотрудничество с клиентами из более чем 60 стран по всему миру, мы всегда будем предоставлять отличный сервис всем нашим клиентам. Добро пожаловать к нам!;Сибель
Changzhou DAWN LINK CO.，LTD;213000, Китай, Changzhou, C2 Building Hutang Science&Tech Industrial park;"+86 (0519) 18151219111; +86 (2571) 15757130021";www.dawndn.com;czchenguang@vip.163.com;"Dawn была основана в 1998 году (первоначально как Chenguang) и имеет более чем 20-летний опыт в области электроники, специализируясь на предоставлении решений для подключения, таких как LAN-кабели, HDMI-кабели, RCA-кабели, VGA-кабели, DVI-кабели, USB-кабели, микрофонные шнуры и электронные компоненты.  Широкий ассортимент из более чем 7 000 продуктов различных качественных и ценовых категорий обеспечивает вас и ваших клиентов всем необходимым.

Dawn обладает богатым опытом в установлении долгосрочных отношений с клиентами по всему миру, особенно соответствуя требованиям европейских клиентов, и ежегодно создает продажи на сумму более 10 000 000 долларов.";DAWN
Chaoyang Microelectronics Technology Co.,Ltd;122000, Китай, Chaoyang, 105,Section 5,Wenhua Road,Longcheng District;"+86 (0421) 2810823; +86 () 13842147133";-;cy_dysyb@163.com;Беспилотники, источники питания, дискретные устройства;CY
Cheemi Technology Co., Ltd;210046, Китай, Nanjing, 3/F, Building 6, Jingang Science and Technology Innovation Park, No.1 Kechuang Road, Qixia District;"+86 (025) 85996365; +86 (0) 18851132317";http://ru.cheemi-tech.com/;info@cheemi-tech.com;ООО Нанкинь Чэньмин Электроник Технолоджи - это частная высокотехнологичная компания с 20-летним опытом разработки, производства и продажи продукции для мониторинга тока и напряжения, имеющая сертификаты ISO9001: 2015, IATF16949: 2016. Мы предоставляем решения для мониторинга тока и напряжения для электросетей, базовых станций мобильной связи, городских метро, междугородних скоростных поездов, локомотивов и других отраслей, таких как авиационно-космическая промышленность и промышленная автоматизация, а также экспортируем продукцию в страны Азии и Европы.;Cheemi
Chengdu bearing new machinery equipment co LTD;610000, Китай, чэнд, No.99,energy saving Avenue,Huaikou Town,Jintang County;"+86 (28) 84926300; +86 (0) 15202857377";ChengXinMachinery.ru;shixiaofang@euler.cn;В марте 2015 года была основана новая компания changdoshan machineship inducition LTD с более чем двадцатилетним опытом разработки, в которой продукция покрывала волноводы, коосные приборы, высокомощные микроволновые приборы, промышленные микроволновые приборы и оборудование, Широко применяются в таких областях, как радары, спутниковая связь, медицинское оборудование, научные исследования, сушки в микроволновке, отопление, размораживающее оборудование, плазменное оборудование для отложения фаз, полупроводниковое оборудование.;-
ChengDu CuiWei Electronic Co.,LTD;610093, Китай, Чэнду, A107, No.3 Keyuan 2nd Road, Chengdu High-tech Zone;"+86 (0) 15184346132; +86 (0) 15884453965";www.cdcwtec.com;sales@cdcwtec.com;Chengdu Cuiwei Electronic Technology Co., ltd. является высокотехнологичной компанией, специализирующейся на проектировании, разработке, производстве и продаже микросхем, компонентов и системных решений для радиочастотных/микроволновых интегральных схем.;-
Chengdu Ebyte Electronic Technology Co.,Ltd;611731, Китай, Чэнду, B5, Mould Industrial Park, 199# Xiqu Ave, West High-tech Zone;"+86 (028) 61543675; +86 () 13708231586";www.cdebyte.com;service@cdebyte.com;"Chengdu Ebyte Electronic Technology Co., Ltd. была основана в 2012 году с офисной площадью более 4000 квадратных метров. Это высокотехнологичное предприятие, объединяющее НИОКР, производство и продажи, с полной промышленной цепочкой, фокусирующееся на коммуникационных приложениях Интернета вещей.

Продукция охватывает LoRa, WiFi, Bluetooth, ZigBee, модули шины CAN, радиостанции передачи данных, промышленные маршрутизаторы/шлюзы, LORAWAN, модули удаленного ввода-вывода, промышленные передатчики сигналов и т. д.

Имея около 100 патентов на изобретения и полезные модели, а также продукты прошли сертификацию SRRC, FCC, CE, MIC, KC, NCC и другие авторитетные сертификации.
Компания стремится предоставлять профессиональные коммуникационные устройства и решения для клиентов по всему миру!";Ebyte
Chengdu EternalNova Integrated Circuit Co., Ltd;610400, Китай, Чэнду, Building B8, Perception Internet of Things Industrial Park, No.777, Section 4, Huafu Avenue, Shuangliu District;+86 (028) 83352679;http://www.eternalnova.net/;hxsq@hanxinchip.cn;Chengdu EternalNova Integrated Circuit Co., Ltd является глобальной электронной компонент, IC дизайн и производство компании, специализирующейся на беспроводной связи. Она обслуживала клиентов по всему миру и продавала 500 миллионов изделий в год. Мы приобрели 127 наименований ключевых технологий по радиочастотному микроволновному IC дизайну, 3D многочиповой многослойной упаковке, проектированию и производству системы в упаковке, наладили стандартные полупроводниковые упаковочные и испытательные производственные линии во многих регионах китая, которые производят и продают 1000 моделей производства.;EternalNova
